estado,Grande,Ano,Estoque
CE,Serviços,2014,485011
DF,Adm Publica,2014,525171
DF,Agricultura,2014,7859
DF,Comercio,2014,174834
DF,Industria,2014,109387
DF,Serviços,2014,504577
ES,Adm Publica,2014,178428
ES,Agricultura,2014,34018
ES,Comercio,2014,205844
ES,Industria,2014,205861
ES,Serviços,2014,343577
GO,Adm Publica,2014,323920
GO,Agricultura,2014,90121
GO,Comercio,2014,301539
GO,Industria,2014,352302
GO,Serviços,2014,446650
MA,Adm Publica,2014,269635
MA,Agricultura,2014,22316
MA,Comercio,2014,150613
MA,Industria,2014,105568
MA,Serviços,2014,191070
MG,Adm Publica,2014,894273
MG,Agricultura,2014,265668
MG,Comercio,2014,1011224
MG,Industria,2014,1269476
MG,Serviços,2014,1631265
MS,Adm Publica,2014,131140
MS,Agricultura,2014,69034
MS,Comercio,2014,128022
MS,Industria,2014,132516
MS,Serviços,2014,192866
MT,Adm Publica,2014,149160
MT,Agricultura,2014,104663
MT,Comercio,2014,193577
MT,Industria,2014,160703
MT,Serviços,2014,196427
PA,Adm Publica,2014,369479
PA,Agricultura,2014,54339
PA,Comercio,2014,218220
PA,Industria,2014,228688
PA,Serviços,2014,277588
PB,Adm Publica,2014,256448
PB,Agricultura,2014,13281
PB,Comercio,2014,105904
PB,Industria,2014,139977
PB,Serviços,2014,162855
PE,Adm Publica,2014,403347
PE,Agricultura,2014,46429
PE,Comercio,2014,321031
PE,Industria,2014,379053
PE,Serviços,2014,618683
PI,Adm Publica,2014,160149
PI,Agricultura,2014,9222
PI,Comercio,2014,86773
PI,Industria,2014,72211
PI,Serviços,2014,128999
PR,Adm Publica,2014,477771
PR,Agricultura,2014,104842
PR,Comercio,2014,678057
PR,Industria,2014,880675
PR,Serviços,2014,1025789
RJ,Adm Publica,2014,785101
RJ,Agricultura,2014,22927
RJ,Comercio,2014,881588
RJ,Industria,2014,843792
RJ,Serviços,2014,2107972
RN,Adm Publica,2014,184711
RN,Agricultura,2014,15834
RN,Comercio,2014,120429
RN,Industria,2014,127322
RN,Serviços,2014,184559
RO,Adm Publica,2014,122698
RO,Agricultura,2014,12584
RO,Comercio,2014,86198
RO,Industria,2014,74424
RO,Serviços,2014,78197
RR,Adm Publica,2014,45468
RR,Agricultura,2014,1540
RR,Comercio,2014,18222
RR,Industria,2014,8071
RR,Serviços,2014,21019
RS,Adm Publica,2014,474834
RS,Agricultura,2014,83033
RS,Comercio,2014,636626
RS,Industria,2014,901723
RS,Serviços,2014,1012765
SC,Adm Publica,2014,263454
SC,Agricultura,2014,45631
SC,Comercio,2014,451360
SC,Industria,2014,812693
SC,Serviços,2014,700795
SE,Adm Publica,2014,115399
SE,Agricultura,2014,13589
SE,Comercio,2014,68181
SE,Industria,2014,88574
SE,Serviços,2014,131095
SP,Adm Publica,2014,1708393
SP,Agricultura,2014,321171
SP,Comercio,2014,2782754
SP,Industria,2014,3473429
SP,Serviços,2014,5825703
TO,Adm Publica,2014,115314
TO,Agricultura,2014,19281
TO,Comercio,2014,49019
TO,Industria,2014,37202
TO,Serviços,2014,55097
AC,Adm Publica,2015,57482
AC,Agricultura,2015,3789
AC,Comercio,2015,25376
AC,Industria,2015,14008
AC,Serviços,2015,36275
AL,Adm Publica,2015,158403
AL,Agricultura,2015,10467
AL,Comercio,2015,88749
AL,Industria,2015,112858
AL,Serviços,2015,138994
AM,Adm Publica,2015,190863
AM,Agricultura,2015,4076
AM,Comercio,2015,100810
AM,Industria,2015,136083
AM,Serviços,2015,178410
AP,Adm Publica,2015,51786
AP,Agricultura,2015,987
AP,Comercio,2015,26470
AP,Industria,2015,10924
AP,Serviços,2015,31596
BA,Adm Publica,2015,599742
BA,Agricultura,2015,93260
BA,Comercio,2015,454132
BA,Industria,2015,388247
BA,Serviços,2015,777023
CE,Adm Publica,2015,408040
CE,Agricultura,2015,27253
CE,Comercio,2015,271525
CE,Industria,2015,348200
CE,Serviços,2015,487741
DF,Adm Publica,2015,478339
DF,Agricultura,2015,6381
DF,Comercio,2015,169921
DF,Industria,2015,92553
DF,Serviços,2015,516678
ES,Adm Publica,2015,177075
ES,Agricultura,2015,33134
ES,Comercio,2015,197288
ES,Industria,2015,188296
ES,Serviços,2015,328949
GO,Adm Publica,2015,332327
GO,Agricultura,2015,92458
GO,Comercio,2015,297816
GO,Industria,2015,328466
GO,Serviços,2015,450330
MA,Adm Publica,2015,271121
MA,Agricultura,2015,20497
MA,Comercio,2015,151276
MA,Industria,2015,97284
MA,Serviços,2015,183003
MG,Adm Publica,2015,832512
MG,Agricultura,2015,265323
MG,Comercio,2015,988268
MG,Industria,2015,1130820
MG,Serviços,2015,1604193
MS,Adm Publica,2015,130750
MS,Agricultura,2015,70267
MS,Comercio,2015,126487
MS,Industria,2015,123102
MS,Serviços,2015,195014
MT,Adm Publica,2015,152946
MT,Agricultura,2015,107031
MT,Comercio,2015,192574
MT,Industria,2015,145581
MT,Serviços,2015,202690
PA,Adm Publica,2015,373754
PA,Agricultura,2015,53272
PA,Comercio,2015,216644
PA,Industria,2015,202304
PA,Serviços,2015,279805
PB,Adm Publica,2015,254867
PB,Agricultura,2015,13000
PB,Comercio,2015,106146
PB,Industria,2015,126605
PB,Serviços,2015,165823
PE,Adm Publica,2015,396687
PE,Agricultura,2015,47063
PE,Comercio,2015,313066
PE,Industria,2015,324039
PE,Serviços,2015,589480
PI,Adm Publica,2015,159440
PI,Agricultura,2015,8851
PI,Comercio,2015,89890
PI,Industria,2015,64044
PI,Serviços,2015,138236
PR,Adm Publica,2015,484331
PR,Agricultura,2015,108236
PR,Comercio,2015,666085
PR,Industria,2015,821876
PR,Serviços,2015,1032676
RJ,Adm Publica,2015,758373
RJ,Agricultura,2015,21568
RJ,Comercio,2015,860391
RJ,Industria,2015,748932
RJ,Serviços,2015,2059595
RN,Adm Publica,2015,169593
RN,Agricultura,2015,16588
RN,Comercio,2015,118681
RN,Industria,2015,114882
RN,Serviços,2015,189711
RO,Adm Publica,2015,120867
RO,Agricultura,2015,13405
RO,Comercio,2015,85054
RO,Industria,2015,60898
RO,Serviços,2015,78437
RR,Adm Publica,2015,47788
RR,Agricultura,2015,1541
RR,Comercio,2015,19100
RR,Industria,2015,8027
RR,Serviços,2015,20108
RS,Adm Publica,2015,466181
RS,Agricultura,2015,85732
RS,Comercio,2015,620547
RS,Industria,2015,825792
RS,Serviços,2015,1007187
SC,Adm Publica,2015,257067
SC,Agricultura,2015,44694
SC,Comercio,2015,440785
SC,Industria,2015,765901
SC,Serviços,2015,705845
SE,Adm Publica,2015,106662
SE,Agricultura,2015,10767
SE,Comercio,2015,67450
SE,Industria,2015,83802
SE,Serviços,2015,136091
SP,Adm Publica,2015,1698603
SP,Agricultura,2015,329250
SP,Comercio,2015,2708901
SP,Industria,2015,3194387
SP,Serviços,2015,5766330
TO,Adm Publica,2015,113834
TO,Agricultura,2015,20156
TO,Comercio,2015,49550
TO,Industria,2015,33595
TO,Serviços,2015,57510
